ilhousedist,houserep,party,eitc,kideitc,kidavgeitc10,kidavgeitc20,multeffect10,multeffect20,avgeitc10,avgeitc20
1,Daniel J. Burke,D,10597,13882,340,680,4.3,8.6,270,540
2,Edward J. Acevedo,D,11020,14436,317,634,4.2,8.3,252,504
3,Luis Arroyo,D,10127,13266,303,606,3.7,7.3,241,482
4,Cynthia Soto,D,9834,12883,308,616,3.6,7.2,245,490
5,Kenneth Dunkin,D,9770,12799,335,670,3.9,7.8,266,532
6,Esther Golar,D,12902,16902,368,736,5.6,11.3,292,584
7,Emanuel Chris Welch,D,9824,12869,309,618,3.6,7.2,245,490
8,La Shawn K. Ford,D,13238,17342,357,714,5.6,11.3,284,568
9,Arthur Turner,D,10580,13860,349,698,4.4,8.8,277,554
10,Derrick Smith,D,14869,19478,363,726,6.4,12.9,288,576
11,Ann Williams,D,4596,6021,224,448,1.2,2.5,178,356
12,Sara Feigenholtz,D,3543,4641,164,328,0.7,1.4,130,260
13,Greg Harris,D,8067,10568,256,512,2.5,4.9,203,406
14,Kelly M. Cassidy,D,8726,11431,251,502,2.6,5.2,199,398
15,John D'Amico,D,6147,8053,260,520,1.9,3.8,207,414
16,Lou Lang,D,8466,11090,300,600,3,6.1,238,476
17,Laura Fine,D,4203,5506,256,512,1.3,2.6,203,406
18,Robyn Gabel,D,3589,4702,251,502,1.1,2.1,200,400
19,Robert F. Martwick,D,8480,11109,258,516,2.6,5.2,205,410
20,Michael P. McAuliffe,R,6325,8286,245,490,1.8,3.7,194,388
21,Silvana Tabares,D,9914,12987,340,680,4,8,270,540
22,Michael J. Madigan,D,10519,13780,331,662,4.1,8.3,263,526
23,Michael J. Zalewski,D,9176,12021,325,650,3.6,7.1,258,516
24,Elizabeth Hernandez,D,10680,13991,339,678,4.3,8.6,269,538
25,Barbara Flynn Currie,D,13823,18108,355,710,5.9,11.7,282,564
26,Christian L. Mitchell,D,10191,13350,340,680,4.1,8.3,270,540
27,Monique D. Davis,D,10512,13771,334,668,4.2,8.4,265,530
28,Robert Rita,D,11682,15303,348,696,4.8,9.7,276,552
29,Thaddeus Jones,D,11621,15224,338,676,4.7,9.4,268,536
30,William Davis,D,11833,15501,354,708,5,10,281,562
31,Mary E. Flowers,D,11894,15581,341,682,4.8,9.7,271,542
32,Andrﾂ M. Thapedi,D,13338,17473,362,724,5.7,11.5,287,574
33,"Marcus C. Evans, Jr.",D,12946,16959,345,690,5.3,10.6,274,548
34,"Elgie R. Sims, Jr.",D,12357,16188,342,684,5,10.1,271,542
35,Frances Ann Hurley,D,6287,8236,301,602,2.3,4.5,239,478
36,Kelly Burke,D,7420,9720,297,594,2.6,5.2,236,472
37,Renﾂe Kosel,R,3694,4839,261,522,1.1,2.3,207,414
38,Al Riley,D,8756,11470,324,648,3.4,6.8,257,514
39,Maria Antonia Berrios,D,10407,13633,291,582,3.6,7.2,231,462
40,"Jaime M. Andrade, Jr.",D,7904,10354,269,538,2.5,5.1,214,428
41,Darlene J. Senger,R,2993,3921,244,488,0.9,1.7,194,388
42,Jeanne M Ives,R,4078,5342,255,510,1.2,2.5,202,404
43,Anna Moeller,D,8780,11502,322,644,3.4,6.7,255,510
44,Fred Crespo,D,6627,8681,284,568,2.2,4.5,226,452
45,Dennis M. Reboletti,R,5158,6757,262,524,1.6,3.2,208,416
46,Deborah Conroy,D,6773,8873,284,568,2.3,4.6,225,450
47,Patricia R. Bellock,R,3118,4085,235,470,0.9,1.7,187,374
48,Sandra M. Pihos,R,4023,5270,247,494,1.2,2.4,196,392
49,Mike Fortner,R,4101,5372,264,528,1.3,2.6,210,420
50,Kay Hatcher,R,4632,6068,275,550,1.5,3,218,436
51,"Ed Sullivan, Jr.",R,2606,3414,225,450,0.7,1.4,179,358
52,David McSweeney,R,4079,5343,259,518,1.3,2.5,206,412
53,David Harris,R,4631,6067,236,472,1.3,2.6,187,374
54,Thomas Morrison,R,4353,5702,247,494,1.3,2.6,196,392
55,Martin J. Moylan,D,6005,7867,247,494,1.8,3.5,196,392
56,Michelle Mussman,D,5232,6854,251,502,1.6,3.1,200,400
57,Elaine Nekritz,D,4693,6148,250,500,1.4,2.8,198,396
58,Scott Drury,D,2369,3103,233,466,0.7,1.3,185,370
59,Carol A. Sente,D,4689,6143,269,538,1.5,3,214,428
60,Rita Mayfield,D,10733,14060,329,658,4.2,8.4,261,522
61,JoAnn D. Osmond,R,6495,8508,293,586,2.3,4.5,233,466
62,Sam Yingling,D,6136,8038,289,578,2.1,4.2,229,458
63,Jack D. Franks,D,6060,7939,263,526,1.9,3.8,209,418
64,Barbara Wheeler,R,4806,6296,248,496,1.4,2.8,197,394
65,Timothy L. Schmitz,R,4091,5359,260,520,1.3,2.5,206,412
66,Michael W. Tryon,R,4408,5774,265,530,1.4,2.8,210,420
67,Charles E. Jefferson,D,11895,15582,327,654,4.6,9.3,260,520
68,John M. Cabello,R,8196,10737,288,576,2.8,5.6,229,458
69,Joe Sosnowski,R,6587,8629,287,574,2.3,4.5,228,456
70,Robert W. Pritchard,R,5569,7295,264,528,1.8,3.5,210,420
71,Mike Smiddy,D,7992,10470,277,554,2.6,5.3,220,440
72,Patrick J. Verschoore,D,8857,11603,295,590,3.1,6.2,235,470
73,David R. Leitch,R,5294,6935,263,526,1.7,3.3,209,418
74,Donald L. Moffitt,R,6967,9127,275,550,2.3,4.6,218,436
75,John D. Anthony,R,5611,7350,268,536,1.8,3.6,213,426
76,Frank J. Mautino,D,7853,10287,268,536,2.5,5,212,424
77,Kathleen Willis,D,8164,10695,296,592,2.9,5.8,235,470
78,Camille Y. Lilly,D,9189,12038,301,602,3.3,6.6,239,478
79,Katherine Cloonen,D,8810,11541,307,614,3.2,6.4,243,486
80,Anthony DeLuca,D,9011,11804,334,668,3.6,7.2,265,530
81,Ron Sandack,R,4123,5401,239,478,1.2,2.3,190,380
82,Jim Durkin,R,3791,4966,251,502,1.1,2.3,200,400
83,Linda Chapa LaVia,D,8789,11514,321,642,3.4,6.7,255,510
84,Stephanie A. Kifowit,D,5167,6769,296,592,1.8,3.6,235,470
85,Emily McAsey,D,7147,9363,293,586,2.5,5,232,464
86,"Lawrence M. Walsh, Jr.",D,10025,13133,324,648,3.9,7.7,257,514
87,Rich Brauer,R,7264,9516,281,562,2.4,4.9,223,446
88,Keith P. Sommer,R,6161,8071,272,544,2,4,216,432
89,Brian W. Stewart,R,7276,9532,284,568,2.5,4.9,226,452
90,Tom Demmer,R,6631,8687,261,522,2.1,4.1,208,416
91,Michael Unes,R,7535,9871,268,536,2.4,4.8,213,426
92,Jehan A. Gordon-Booth,D,11662,15277,323,646,4.5,9,256,512
93,Norine Hammond,R,7468,9783,272,544,2.4,4.8,216,432
94,Jil Tracy,R,7849,10282,268,536,2.5,5,213,426
95,Wayne Rosenthal,R,7151,9368,269,538,2.3,4.6,214,428
96,Sue Scherer,D,9994,13092,309,618,3.7,7.4,245,490
97,Tom Cross,R,4058,5316,279,558,1.3,2.7,221,442
98,Natalie A. Manley,D,6330,8292,293,586,2.2,4.4,232,464
99,Raymond Poe,R,6991,9158,283,566,2.4,4.7,225,450
100,C.D. Davidsmeyer,R,7512,9841,280,560,2.5,5,222,444
101,Bill Mitchell,R,6646,8706,286,572,2.3,4.5,227,454
102,Adam Brown,R,6510,8528,263,526,2,4.1,208,416
103,Naomi D. Jakobsson,D,6526,8549,286,572,2.2,4.4,227,454
104,Chad Hays,R,9486,12427,318,636,3.6,7.2,252,504
105,Dan Brady,R,4863,6371,270,540,1.6,3.1,214,428
106,Josh Harms,R,7086,9283,277,554,2.3,4.7,220,440
107,John D. Cavaletto,R,8178,10713,280,560,2.7,5.4,222,444
108,Charles E. Meier,R,5341,6997,259,518,1.7,3.3,206,412
109,David Reis,R,7634,10001,265,530,2.4,4.8,210,420
110,Brad E. Halbrook,R,7396,9689,265,530,2.3,4.7,210,420
111,Daniel V. Beiser,D,8907,11668,286,572,3,6.1,227,454
112,Dwight Kay,R,6372,8347,269,538,2,4.1,214,428
113,Jay Hoffman,D,9164,12005,303,606,3.3,6.6,240,480
114,"Eddie Lee Jackson, Sr.",D,10661,13966,340,680,4.3,8.6,270,540
115,Mike Bost,R,8501,11136,281,562,2.8,5.7,223,446
116,"Jerry F. Costello, II",D,6872,9002,295,590,2.4,4.8,235,470
117,John E. Bradley,D,9114,11939,289,578,3.1,6.3,230,460
